Iteration,Function,Color,Increment Count,Increment Percentage,Decrement Count,Decrement Percentage,Proposer 1,confirmed_round_1
456,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,971
457,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,973
458,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,975
459,0,0,94,18.8,406,81.2,BFQYPRLMZJUL724E3AW65DSRZRHY2YHNKTXUQKPDRPU5BYSGOE2VQ46LNU,977
460,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,979
461,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,981
462,1,1,94,18.8,406,81.2,BFQYPRLMZJUL724E3AW65DSRZRHY2YHNKTXUQKPDRPU5BYSGOE2VQ46LNU,983
463,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,985
464,1,1,94,18.8,406,81.2,BFQYPRLMZJUL724E3AW65DSRZRHY2YHNKTXUQKPDRPU5BYSGOE2VQ46LNU,987
465,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,989
466,0,0,94,18.8,406,81.2,BFQYPRLMZJUL724E3AW65DSRZRHY2YHNKTXUQKPDRPU5BYSGOE2VQ46LNU,991
467,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,993
468,0,0,94,18.8,406,81.2,BFQYPRLMZJUL724E3AW65DSRZRHY2YHNKTXUQKPDRPU5BYSGOE2VQ46LNU,995
469,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,997
470,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,999
471,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1001
472,0,0,94,18.8,406,81.2,BFQYPRLMZJUL724E3AW65DSRZRHY2YHNKTXUQKPDRPU5BYSGOE2VQ46LNU,1003
473,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1005
474,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1007
475,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1009
476,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1011
477,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1013
478,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1015
479,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1017
480,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1019
481,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1021
482,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1023
483,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1025
484,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1027
485,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1029
486,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1031
487,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1033
488,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1035
489,0,0,94,18.8,406,81.2,BFQYPRLMZJUL724E3AW65DSRZRHY2YHNKTXUQKPDRPU5BYSGOE2VQ46LNU,1037
490,1,1,94,18.8,406,81.2,BFQYPRLMZJUL724E3AW65DSRZRHY2YHNKTXUQKPDRPU5BYSGOE2VQ46LNU,1039
491,1,1,94,18.8,406,81.2,BFQYPRLMZJUL724E3AW65DSRZRHY2YHNKTXUQKPDRPU5BYSGOE2VQ46LNU,1041
492,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1043
493,0,0,94,18.8,406,81.2,BFQYPRLMZJUL724E3AW65DSRZRHY2YHNKTXUQKPDRPU5BYSGOE2VQ46LNU,1045
494,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1047
495,0,0,94,18.8,406,81.2,BFQYPRLMZJUL724E3AW65DSRZRHY2YHNKTXUQKPDRPU5BYSGOE2VQ46LNU,1049
496,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1051
497,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1053
498,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1055
499,1,1,94,18.8,406,81.2,EMGUFI4UI3CF7VIKSAVFU65RLA6FAPSVU6TM4IZUYOVXSVR7HSZJGGOQUU,1057
